species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Acadian Flycatcher,NA,NA,NA,Moucherolle vert,Empidonax virescens,1221,no acceptable data for indicator,Acadian Flycatcher/Hooded Warbler Recovery Team,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,Included in group,,,,,,,,BRE,NA,#VALUE!
Alder Flycatcher,BBS,30,Little Change,Moucherolle des aulnes,Empidonax alnorum,1222,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,Included in group,,,,,,,,BRE,29.7,-0.3
American Avocet,BBS,170,Increase,Avocette d'Amérique,Recurvirostra americana,443,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,119,-51
American Bittern,BBS,-33,Decrease,Butor d'Amérique,Botaurus lentiginosus,726,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-32.6,0.4
American Black Duck,EWS_Combined,-0.31,Little Change,Canard noir,Anas rubripes,48,EWS_Combined,EWS_Combined,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,-0.308,0.002
American Coot,Western Waterfowl,280,Increase,Foulque d'Amérique,Fulica americana,434,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,278,-2
American Crow,BBS,-22,Little Change,Corneille d'Amérique,Corvus brachyrhynchos,1393,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-21.6,0.4
American Dipper,BBS,-10,Little Change,Cincle d'Amérique,Cinclus mexicanus,1512,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-10.2,-0.2
American Golden-Plover,Shorebird,-52,Decrease,Pluvier bronzé,Pluvialis dominica,451,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-52.5,-0.5
American Goldfinch,BBS,-28,Decrease,Chardonneret jaune,Spinus tristis,1770,BBS,BBS,Included in group,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,,,,BRE,-28.1,-0.1
